@RELATION modelSVM
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {horn,motorbike,traffic,silent}

@DATA
0.131756,0.031689,3.109204,0.194652,0.174148,1.388277,0.010691,0.219956,-28.667557,-3.153063,-1.600651,0.988995,1.232068,0.827025,0.568984,0.025271,-0.285729,0.289345,0.714849,0.762594,0.550209,0.006368,0.003465,0.010507,0.002182,0.010747,0.036788,0.001018,0.009756,0.014408,0.017202,0.053159,0.005495,0.023156,0.029801,0.018680,0.116518,0.023806,0.026229,0.274738,0.005334,0.050931,0.592786,0.406449,0.366053,0.317568,0.319350,0.298702,0.293943,0.277640,0.293266,0.287296,0.278729,0.279233,0.273148,0.004373,0.002768,0.006469,0.001953,0.007618,0.019069,0.001036,0.007189,0.008559,0.009809,0.026333,0.004372,0.006082,horn
0.131756,0.031689,3.109204,0.194652,0.174148,1.388277,0.010691,0.219956,-28.667557,-3.153063,-1.600651,0.988995,1.232068,0.827025,0.568984,0.025271,-0.285729,0.289345,0.714849,0.762594,0.550209,0.006368,0.003465,0.010507,0.002182,0.010747,0.036788,0.001018,0.009756,0.014408,0.017202,0.053159,0.005495,0.023156,0.029801,0.018680,0.116518,0.023806,0.026229,0.274738,0.005334,0.050931,0.592786,0.406449,0.366053,0.317568,0.319350,0.298702,0.293943,0.277640,0.293266,0.287296,0.278729,0.279233,0.273148,0.004373,0.002768,0.006469,0.001953,0.007618,0.019069,0.001036,0.007189,0.008559,0.009809,0.026333,0.004372,0.006082,horn
0.120689,0.019728,3.080767,0.187148,0.171565,1.314572,0.010979,0.202592,-28.950922,-2.896398,-1.843616,0.539282,1.021304,1.013990,0.466872,-0.198356,-0.149181,0.267926,0.701571,0.818929,0.468101,0.013993,0.002577,0.013710,0.002635,0.008477,0.032253,0.001863,0.007867,0.016260,0.009169,0.057827,0.009358,0.022339,0.023837,0.009460,0.103563,0.022469,0.026399,0.215690,0.005458,0.044156,0.484305,0.334664,0.344025,0.309760,0.308767,0.306343,0.302104,0.278991,0.286918,0.278445,0.270160,0.273662,0.274670,0.009150,0.002203,0.008518,0.002238,0.005836,0.016581,0.001745,0.005788,0.010374,0.006514,0.025442,0.006970,0.005451,horn
0.120689,0.019728,3.080767,0.187148,0.171565,1.314572,0.010979,0.202592,-28.950922,-2.896398,-1.843616,0.539282,1.021304,1.013990,0.466872,-0.198356,-0.149181,0.267926,0.701571,0.818929,0.468101,0.013993,0.002577,0.013710,0.002635,0.008477,0.032253,0.001863,0.007867,0.016260,0.009169,0.057827,0.009358,0.022339,0.023837,0.009460,0.103563,0.022469,0.026399,0.215690,0.005458,0.044156,0.484305,0.334664,0.344025,0.309760,0.308767,0.306343,0.302104,0.278991,0.286918,0.278445,0.270160,0.273662,0.274670,0.009150,0.002203,0.008518,0.002238,0.005836,0.016581,0.001745,0.005788,0.010374,0.006514,0.025442,0.006970,0.005451,horn
0.076601,0.018978,3.102353,0.138030,0.162576,0.631786,0.010883,0.099518,-31.192592,-2.704108,-0.965477,0.003239,1.058929,0.710826,0.308717,0.003836,-0.258915,0.468061,0.656385,0.958875,0.442011,0.004031,0.000571,0.006990,0.001153,0.002774,0.017673,0.001250,0.030294,0.010722,0.017154,0.080526,0.001420,0.028499,0.013019,0.010954,0.108040,0.022881,0.029010,0.151668,0.008624,0.014824,1.047964,0.386389,0.365156,0.324128,0.297394,0.272701,0.293999,0.269354,0.261282,0.263229,0.286306,0.254794,0.273782,0.003384,0.000440,0.005021,0.000922,0.002474,0.011416,0.001231,0.015469,0.007450,0.011092,0.026456,0.001368,0.006299,horn
0.076601,0.018978,3.102353,0.138030,0.162576,0.631786,0.010883,0.099518,-31.192592,-2.704108,-0.965477,0.003239,1.058929,0.710826,0.308717,0.003836,-0.258915,0.468061,0.656385,0.958875,0.442011,0.004031,0.000571,0.006990,0.001153,0.002774,0.017673,0.001250,0.030294,0.010722,0.017154,0.080526,0.001420,0.028499,0.013019,0.010954,0.108040,0.022881,0.029010,0.151668,0.008624,0.014824,1.047964,0.386389,0.365156,0.324128,0.297394,0.272701,0.293999,0.269354,0.261282,0.263229,0.286306,0.254794,0.273782,0.003384,0.000440,0.005021,0.000922,0.002474,0.011416,0.001231,0.015469,0.007450,0.011092,0.026456,0.001368,0.006299,horn
0.056687,0.027840,2.896522,0.153485,0.199857,0.426852,0.025910,0.069516,-29.217553,-2.260927,-1.413595,0.925255,1.011755,1.165521,0.549212,-0.010487,-0.035234,0.354651,0.828813,0.828665,0.588265,0.003286,0.000858,0.006094,0.001182,0.002644,0.019823,0.000501,0.002912,0.005149,0.001668,0.148295,0.002408,0.040906,0.022292,0.015451,0.181518,0.023470,0.022943,0.179661,0.019888,0.039204,0.538254,0.317555,0.282507,0.293739,0.270690,0.281700,0.303089,0.263396,0.279814,0.254419,0.257324,0.265725,0.264594,0.003066,0.000831,0.004651,0.001407,0.002691,0.015624,0.000426,0.003127,0.004704,0.001601,0.037898,0.002281,0.009700,horn
0.056687,0.027840,2.896522,0.153485,0.199857,0.426852,0.025910,0.069516,-29.217553,-2.260927,-1.413595,0.925255,1.011755,1.165521,0.549212,-0.010487,-0.035234,0.354651,0.828813,0.828665,0.588265,0.003286,0.000858,0.006094,0.001182,0.002644,0.019823,0.000501,0.002912,0.005149,0.001668,0.148295,0.002408,0.040906,0.022292,0.015451,0.181518,0.023470,0.022943,0.179661,0.019888,0.039204,0.538254,0.317555,0.282507,0.293739,0.270690,0.281700,0.303089,0.263396,0.279814,0.254419,0.257324,0.265725,0.264594,0.003066,0.000831,0.004651,0.001407,0.002691,0.015624,0.000426,0.003127,0.004704,0.001601,0.037898,0.002281,0.009700,horn
0.046421,0.030226,2.869767,0.174704,0.224289,0.371234,0.055200,0.065268,-31.920094,-1.463598,-1.017232,0.502666,1.188978,1.004750,0.509161,0.118477,0.024345,0.310661,0.721263,0.890278,0.590407,0.002090,0.000369,0.004404,0.000345,0.000683,0.009677,0.000258,0.000573,0.002287,0.000428,0.179764,0.000443,0.049657,0.037636,0.027090,0.258948,0.045632,0.025835,0.295046,0.050491,0.078955,1.248150,0.334088,0.367424,0.241841,0.231072,0.228132,0.234470,0.218397,0.228042,0.217715,0.218189,0.212783,0.203347,0.001934,0.000448,0.003956,0.000444,0.000721,0.010911,0.000326,0.000616,0.002274,0.000483,0.022868,0.000511,0.006027,horn
0.046421,0.030226,2.869767,0.174704,0.224289,0.371234,0.055200,0.065268,-31.920094,-1.463598,-1.017232,0.502666,1.188978,1.004750,0.509161,0.118477,0.024345,0.310661,0.721263,0.890278,0.590407,0.002090,0.000369,0.004404,0.000345,0.000683,0.009677,0.000258,0.000573,0.002287,0.000428,0.179764,0.000443,0.049657,0.037636,0.027090,0.258948,0.045632,0.025835,0.295046,0.050491,0.078955,1.248150,0.334088,0.367424,0.241841,0.231072,0.228132,0.234470,0.218397,0.228042,0.217715,0.218189,0.212783,0.203347,0.001934,0.000448,0.003956,0.000444,0.000721,0.010911,0.000326,0.000616,0.002274,0.000483,0.022868,0.000511,0.006027,horn
